sep=	
time (source1)	x	time (source1)	y	time (source1)	z
0	232	0	-128	0	-1100
0.031	-24	0.031	-16	0.027	-932
0.056	-196	0.054	1040	0.055	-1032
0.085	-320	0.082	-128	0.084	-1124
0.113	-376	0.115	120	0.115	-1112
0.141	-256	0.139	4	0.147	-1024
0.169	-452	0.17	-92	0.171	-1152
0.2	-888	0.199	112	0.2	-856
0.23	-108	0.231	-64	0.228	-1048
0.257	100	0.255	144	0.256	-1028
0.286	-32	0.283	72	0.284	-980
0.313	516	0.316	172	0.313	-1004
0.347	596	0.338	256	0.339	-968
0.369	520	0.368	292	0.368	-996
0.398	312	0.399	228	0.396	-1084
0.424	612	0.421	152	0.424	-844
0.453	568	0.449	80	0.452	-936
0.48	288	0.482	104	0.48	-972
0.515	8	0.507	-32	0.507	-988
0.537	-272	0.534	104	0.535	-1140
0.565	-364	0.569	-252	0.564	-1032
0.599	-684	0.589	204	0.591	-984
0.621	-148	0.617	128	0.62	-1012
0.648	-164	0.648	356	0.649	-924
0.68	-888	0.679	112	0.675	-1140
0.705	-656	0.703	24	0.703	-952
0.736	-124	0.733	36	0.733	-1000
0.765	32	0.762	136	0.76	-1108
0.788	-28	0.787	76	0.79	-1080
0.818	452	0.815	84	0.82	-976
0.846	676	0.849	256	0.852	-1152
0.881	612	0.879	280	0.875	-988
0.904	176	0.905	92	0.903	-964
0.937	744	0.933	160	0.933	-1028
0.966	548	0.962	192	0.96	-984
0.989	132	0.986	280	0.987	-1228
1.018	40	1.016	56	1.018	-1012
1.046	120	1.047	96	1.046	-984
1.072	-84	1.072	-28	1.072	-1260
1.104	-128	1.098	144	1.099	-968
1.13	-516	1.131	-4	1.128	-1020
1.156	-1248	1.154	44	1.155	-1032
1.185	-140	1.183	-108	1.184	-1104
1.213	-256	1.214	72	1.213	-812
1.24	-612	1.238	88	1.239	-1064
1.269	-272	1.268	56	1.267	-872
1.298	-132	1.298	132	1.296	-888
1.329	64	1.323	124	1.323	-1228
1.353	72	1.35	88	1.352	-272
1.381	560	1.382	52	1.38	-1020
1.415	592	1.405	88	1.407	-964
1.437	192	1.435	92	1.436	-1080
1.466	132	1.466	264	1.463	-644
1.497	136	1.49	632	1.497	-936
1.521	36	1.52	-560	1.524	-1128
1.551	2040	1.551	-196	1.551	-1012
1.582	-148	1.583	100	1.58	-964
1.616	-84	1.606	-188	1.607	-1244
1.636	716	1.634	220	1.635	-1044
