X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-79.855106,43.259998,"0","0","0",85.9,2025/10/26 01:31:38+00,,,,,,,,,,,,,,,,,,,,,
-79.855106,43.259998,"0","0","1",85.9,2025/10/26 01:31:39+00,,,,,,,,,,,,,,,,,,,,,
-79.855117,43.26002,"0","0","2",85.9,2025/10/26 01:31:40+00,,,,,,,,,,,,,,,,,,,,,
-79.855118,43.260031,"0","0","3",85.9,2025/10/26 01:31:41+00,,,,,,,,,,,,,,,,,,,,,
-79.855116,43.260034,"0","0","4",85.9,2025/10/26 01:31:42+00,,,,,,,,,,,,,,,,,,,,,
-79.85511,43.260037,"0","0","5",85.9,2025/10/26 01:31:43+00,,,,,,,,,,,,,,,,,,,,,
-79.855103,43.260037,"0","0","6",85.9,2025/10/26 01:31:44+00,,,,,,,,,,,,,,,,,,,,,
-79.855097,43.260039,"0","0","7",85.9,2025/10/26 01:31:45+00,,,,,,,,,,,,,,,,,,,,,
-79.855092,43.260036,"0","0","8",85.9,2025/10/26 01:31:46+00,,,,,,,,,,,,,,,,,,,,,
-79.855089,43.260035,"0","0","9",85.9,2025/10/26 01:31:47+00,,,,,,,,,,,,,,,,,,,,,
-79.855086,43.260034,"0","0","10",85.9,2025/10/26 01:31:48+00,,,,,,,,,,,,,,,,,,,,,
-79.855085,43.26003,"0","0","11",85.9,2025/10/26 01:31:49+00,,,,,,,,,,,,,,,,,,,,,
-79.855084,43.260026,"0","0","12",85.9,2025/10/26 01:31:50+00,,,,,,,,,,,,,,,,,,,,,
-79.855085,43.26002,"0","0","13",85.9,2025/10/26 01:31:51+00,,,,,,,,,,,,,,,,,,,,,
-79.855087,43.260014,"0","0","14",85.9,2025/10/26 01:31:52+00,,,,,,,,,,,,,,,,,,,,,
-79.85509,43.260006,"0","0","15",85.9,2025/10/26 01:31:53+00,,,,,,,,,,,,,,,,,,,,,
-79.855093,43.259998,"0","0","16",85.9,2025/10/26 01:31:54+00,,,,,,,,,,,,,,,,,,,,,
-79.855098,43.25999,"0","0","17",86,2025/10/26 01:31:55+00,,,,,,,,,,,,,,,,,,,,,
-79.855103,43.259982,"0","0","18",86,2025/10/26 01:31:56+00,,,,,,,,,,,,,,,,,,,,,
-79.855106,43.259977,"0","0","19",86,2025/10/26 01:31:57+00,,,,,,,,,,,,,,,,,,,,,
-79.855108,43.259971,"0","0","20",86,2025/10/26 01:31:58+00,,,,,,,,,,,,,,,,,,,,,
